Test (2C): Figure 8 (unreliable) ...
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 1
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 1
Am leader::len 3, committed 2, id 0
Am leader::len 2, committed 1, id 4
Am leader::len 3, committed 2, id 0
len 3, committed 2, id 1
len 11, committed 2, id 3
len 3, committed 2, id 2
len 2, committed 1, id 4
Am leader::len 3, committed 2, id 0
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 2, committed 1, id 4
Am leader::len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 1
Am leader::len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
Am leader::len 3, committed 2, id 0
Am leader::len 3, committed 2, id 0
len 3, committed 2, id 1
len 3, committed 2, id 2
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
Am leader::len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 4
len 3, committed 2, id 2
len 3, committed 2, id 1
Am leader::len 3, committed 2, id 0
len 3, committed 2, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
Am leader::len 12, committed 2, id 3
Am leader::len 4, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 4
Am leader::len 13, committed 2, id 3
Am leader::len 5, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
len 4, committed 2, id 4
len 4, committed 2, id 2
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 2
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
len 4, committed 2, id 2
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 4, committed 2, id 4
len 14, committed 2, id 3
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 1
Am leader::len 4, committed 2, id 4
len 14, committed 2, id 3
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 4, committed 2, id 2
len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 4
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 1
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 6, committed 4, id 0
Am leader::len 14, committed 2, id 3
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 2
len 4, committed 2, id 4
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 1
len 4, committed 2, id 2
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 4
Am leader::len 14, committed 2, id 3
len 4, committed 2, id 2
len 4, committed 2, id 4
Am leader::len 6, committed 4, id 0
len 4, committed 2, id 1
Am leader::len 14, committed 2, id 3
